run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,188.836,188.836,21654.540,23627.402,0.151,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,195.078,195.078,21714.946,23642.926,0.154,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,189.387,189.387,21663.788,23637.634,0.150,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,191.512,191.512,21686.343,23661.610,0.155,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,226.538,226.538,204424.395,206390.661,0.151,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,251.339,251.339,210176.183,212116.733,0.146,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,261.756,261.756,198443.168,200393.101,0.148,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,230.819,230.819,198045.003,200015.438,0.164,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,227.594,227.594,198544.023,200511.459,0.150,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,238.789,238.789,198088.602,200016.232,0.146,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,227.553,227.553,198718.096,200684.547,0.201,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,227.683,227.683,198196.084,200163.178,0.148,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,247.140,247.140,198599.978,200536.309,0.150,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,240.365,240.365,201322.987,203251.424,0.149,1,1,1,0,0
