tx_idx,latency_ms
1111,480.9672
1112,480.9682
1113,480.9694
1114,480.9700
1115,480.9707
1116,480.9716
1117,480.9721
1118,484.6273
1119,484.6288
1120,484.6294
1121,484.6303
1122,484.6314
1123,484.6320
1124,484.6326
1125,484.6337
1126,484.6349
1127,488.3156
1128,488.3169
1129,488.3179
1130,488.3189
1131,488.3194
1132,488.3199
1133,488.3204
1134,488.3209
1135,488.3219
1136,488.3223
1137,488.3230
1138,488.3239
1139,488.3245
1140,491.9700
1141,491.9714
1142,491.9724
1143,491.9729
1144,491.9734
1145,491.9744
1146,495.0465
1147,495.0481
1148,495.0487
1149,495.0492
1150,495.0497
1151,495.0501
1152,495.0507
1153,495.0512
1154,495.0522
1155,495.0531
1156,495.0540
1157,498.3928
1158,498.3941
1159,498.3947
1160,498.3952
1161,498.3962
1162,498.3972
1163,498.3977
1164,498.3982
1165,498.3986
1166,498.3996
1167,498.4001
1168,498.4006
1169,498.4010
1170,501.8717
1171,501.8730
1172,501.8741
1173,501.8750
1174,501.8760
1175,501.8765
1176,501.8769
1177,505.1524
1178,505.1538
1179,505.1543
1180,505.1553
1181,505.1563
1182,505.1572
1183,505.1582
1184,508.5608
1185,508.5616
1186,508.5627
1187,508.5637
1188,508.5642
1189,508.5646
1190,508.5651
1191,508.5656
1192,508.5661
1193,508.5665
1194,508.5675
1195,508.5683
1196,508.5692
1197,508.5697
1198,511.6173
1199,511.6182
1200,511.6193
1201,511.6203
1202,511.6213
1203,511.6222
1204,511.6227
1205,511.6241
1206,515.2866
1207,515.2879
1208,515.2885
1209,515.2889
1210,515.2901
1211,515.2910
1212,515.2915
1213,515.2920
1214,515.2930
1215,515.2934
1216,518.3813
1217,518.3826
1218,518.3832
1219,518.3842
1220,518.3851
1221,518.3860
1222,518.3865
1223,518.3870
1224,522.1021
1225,522.1035
1226,522.1041
1227,522.1051
1228,522.1055
1229,522.1065
1230,522.1075
1231,525.4333
1232,525.4347
1233,525.4358
1234,525.4367
1235,525.4372
1236,525.4377
1237,528.2416
1238,528.2430
1239,528.2440
1240,528.2445
1241,528.2454
1242,528.2464
1243,528.2469
1244,528.2473
1245,531.9074
1246,531.9088
1247,531.9098
1248,531.9108
1249,531.9123
1250,531.9133
1251,535.0163
1252,535.0177
1253,535.0188
1254,535.0197
1255,535.0202
1256,535.0207
1257,535.0217
1258,535.0222
1259,538.2143
1260,538.2157
1261,538.2167
1262,538.2177
1263,538.2186
1264,538.2196
1265,538.2201
1266,541.8541
1267,541.8556
1268,541.8562
1269,541.8567
1270,541.8577
1271,541.8582
1272,541.8587
1273,541.8591
1274,541.8596
1275,541.8602
1276,541.8612
1277,541.8617
1278,544.9707
1279,544.9723
1280,544.3454
1281,544.3466
1282,544.3478
1283,544.3482
1284,544.3495
1285,544.3499
1286,547.4645
1287,547.4654
1288,547.4660
1289,547.4669
1290,547.4679
1291,547.4684
1292,547.4694
1293,547.4705
1294,547.4710
1295,550.9066
1296,550.9076
1297,550.9087
1298,550.9092
1299,550.9102
1300,550.9107
1301,550.9112
1302,550.9117
1303,550.9127
1304,550.9131
1305,550.9141
1306,554.2234
1307,554.2243
1308,554.2254
1309,554.2265
1310,554.2271
1311,554.2275
1312,554.2281
1313,554.2290
1314,557.2768
1315,557.2782
1316,557.2792
1317,557.2797
1318,557.2803
1319,557.2813
1320,560.3769
1321,560.3778
1322,560.3789
1323,560.3800
1324,560.3805
1325,560.3814
1326,560.3819
1327,560.3824
1328,560.3833
1329,563.6696
1330,563.6710
1331,563.6716
1332,563.6726
1333,563.6731
1334,563.6741
1335,563.6750
1336,563.6755
1337,563.6761
1338,567.0729
1339,567.0745
1340,567.0751
1341,567.0760
1342,567.0769
1343,567.0782
1344,567.0787
1345,567.0793
1346,567.0799
1347,567.0805
1348,567.0810
1349,567.0816
1350,570.1720
1351,570.1735
1352,570.1742
1353,570.1748
1354,570.1754
1355,570.1777
1356,570.1786
1357,570.1796
1358,570.1801
1359,570.1809
1360,570.1815
1361,570.1825
1362,570.1833
1363,570.1840
1364,573.8012
1365,573.8027
1366,573.8039
1367,573.8044
1368,573.8050
1369,573.8060
1370,573.8069
1371,576.9152
1372,576.9161
1373,576.9168
1374,576.9178
1375,576.9184
1376,576.9190
1377,576.9202
1378,576.9215
1379,576.9226
1380,580.1429
1381,580.1444
1382,580.1454
1383,580.1459
1384,580.1469
1385,580.1478
1386,580.1483
1387,600.3010
1388,600.3025
1389,603.4030
1390,603.4043
1391,603.4050
1392,603.4059
1393,603.4069
1394,603.4074
1395,603.4084
1396,606.6559
1397,606.6572
1398,606.6582
1399,606.6588
1400,606.6597
1401,606.6602
1402,606.6607
1403,606.6614
1404,606.6623
1405,606.6628
1406,610.4111
1407,610.4120
1408,610.4131
1409,610.4142
1410,610.4151
1411,610.4158
1412,614.0175
1413,614.0189
1414,614.0199
1415,614.0209
1416,614.0218
1417,614.0227
1418,617.3359
1419,617.3372
1420,617.3378
1421,617.3387
1422,617.3392
1423,617.3401
1424,617.3407
1425,617.3412
1426,617.3422
1427,617.3427
1428,617.3432
1429,620.7197
1430,620.7219
1431,620.7232
1432,620.7242
1433,620.7252
1434,620.7257
1435,620.7267
1436,623.8849
1437,623.8864
1438,623.8871
1439,623.8880
1440,623.8889
1441,623.8894
1442,623.8899
1443,623.8909
1444,623.8914
1445,627.2091
1446,627.2106
1447,627.2116
1448,627.2121
1449,627.2131
1450,627.2136
1451,627.2145
1452,630.4040
1453,630.4053
1454,630.4064
1455,630.4073
1456,630.4084
1457,633.5260
1458,633.5267
1459,633.5278
1460,633.5283
1461,633.5295
1462,633.5307
1463,633.5317
1464,633.5321
1465,636.8246
1466,636.8259
1467,636.8265
1468,636.8275
1469,636.8279
1470,636.8284
1471,636.8294
1472,636.8304
1473,636.8309
1474,636.8314
1475,636.8319
1476,639.9587
1477,639.9596
1478,639.9607
1479,639.9612
1480,639.9617
1481,639.9622
1482,639.9632
1483,639.9642
1484,639.9652
1485,639.9656
1486,643.3163
1487,643.3172
1488,643.3179
1489,643.3189
1490,643.3198
1491,643.3208
1492,643.3213
1493,646.4620
1494,646.4629
1495,646.4640
1496,646.4649
1497,646.4654
1498,646.4663
1499,646.4673
1500,662.2737
1501,662.2746
1502,662.2752
1503,662.2762
1504,662.2771
1505,662.2776
1506,662.2782
1507,662.2787
1508,662.2796
1509,662.2806
1510,665.6104
1511,665.6113
1512,665.6123
1513,665.6133
1514,665.6144
1515,665.6154
1516,665.6159
1517,665.6164
1518,665.6169
1519,665.6173
1520,669.0383
1521,669.0392
1522,669.0398
1523,669.0408
1524,669.0413
1525,669.0418
1526,669.0428
1527,669.0438
1528,669.0447
1529,669.0452
1530,672.0271
1531,672.0287
1532,672.0297
1533,672.0302
1534,672.0312
1535,672.0318
1536,671.4127
1537,671.4131
1538,671.4137
1539,674.7038
1540,674.7048
1541,674.7060
1542,674.7071
1543,674.7076
1544,674.7081
1545,674.7086
1546,674.7097
1547,674.7102
1548,674.7112
1549,674.7117
1550,678.0378
1551,678.0393
1552,678.0404
1553,678.0409
1554,678.0415
1555,678.0426
1556,678.0431
1557,678.0441
1558,678.0446
1559,681.3994
1560,681.4008
1561,681.4019
1562,681.4024
1563,681.4029
1564,681.4039
1565,681.4049
1566,681.4053
1567,684.4414
1568,684.4428
1569,684.4434
1570,684.4443
1571,684.4449
1572,684.4454
1573,684.4463
1574,684.4473
1575,684.4483
1576,687.5612
1577,687.5623
1578,687.5635
1579,687.5645
1580,687.5655
1581,687.5660
1582,687.5665
1583,691.3750
1584,691.3765
1585,691.3775
1586,691.3784
1587,691.3794
1588,694.7558
1589,694.7567
1590,694.7573
1591,694.7579
1592,694.7589
1593,694.7605
1594,694.7614
1595,694.7625
1596,697.8708
1597,697.8722
1598,697.8729
1599,697.8739
1600,697.8744
1601,697.8754
1602,697.8764
1603,697.8769
1604,701.4756
1605,701.4766
1606,701.4778
1607,701.4783
1608,701.4792
1609,701.4797
1610,701.4802
1611,701.4807
1612,701.4817
1613,704.6298
1614,704.6307
1615,704.6313
1616,704.6323
1617,704.6328
1618,704.6337
1619,704.6347
1620,704.6352
1621,704.6358
1622,704.6367
1623,708.3117
1624,708.3126
1625,708.3133
1626,708.3145
1627,708.3151
1628,708.3158
1629,708.3168
1630,708.3172
1631,708.3182
1632,708.3191
1633,711.4165
1634,711.4180
1635,711.4190
1636,711.4195
1637,711.4199
1638,711.4206
1639,711.4212
1640,711.4223
1641,711.4232
1642,711.4237
1643,711.4248
1644,714.9592
1645,714.9605
1646,714.9611
1647,714.9616
1648,714.9625
1649,714.9631
1650,714.9641
1651,714.9653
1652,714.9659
1653,714.9665
1654,714.9671
1655,718.1014
1656,718.1028
1657,718.1034
1658,718.1039
1659,718.1046
1660,718.1051
1661,718.1055
1662,718.1060
1663,718.1065
1664,718.1069
1665,718.1074
1666,718.1083
1667,718.1094
1668,718.1099
1669,721.2828
1670,721.2844
1671,721.2854
1672,721.2864
1673,721.2873
1674,721.2880
1675,724.6691
1676,724.6707
1677,724.6713
1678,724.6723
1679,724.6728
1680,724.6733
1681,724.6738
1682,728.2953
1683,728.2962
1684,728.2967
1685,728.2977
1686,728.2987
1687,728.2997
1688,728.3002
1689,728.3011
1690,731.5732
1691,731.5741
1692,731.5752
1693,731.5761
1694,731.5771
1695,731.5775
1696,731.5785
1697,734.8948
1698,734.8954
1699,734.8959
1700,734.8964
1701,734.8969
1702,734.8978
1703,734.8991
1704,734.8997
1705,734.9007
1706,734.9011
1707,734.9022
1708,738.4316
1709,738.4324
1710,738.4333
1711,738.4351
1712,738.4360
1713,738.4370
1714,738.4380
1715,741.6716
1716,741.6722
1717,741.6727
1718,741.6737
1719,741.6752
1720,741.6762
1721,741.6772
1722,741.6777
1723,745.0685
1724,745.0692
1725,745.0697
1726,745.0706
1727,745.0716
1728,745.0721
1729,745.0726
1730,745.0731
1731,745.0736
1732,745.0741
1733,745.0752
1734,745.0762
1735,748.6665
1736,748.6677
1737,748.6682
1738,748.6688
1739,748.6693
1740,748.6703
1741,748.6709
1742,748.6718
1743,748.6724
1744,748.6733
1745,748.6738
1746,751.7685
1747,751.7697
1748,751.7702
1749,751.7707
1750,751.7717
1751,751.7722
1752,751.7727
1753,751.7732
1754,751.7741
1755,751.7753
1756,755.3383
1757,755.3392
1758,755.3403
1759,755.3413
1760,755.3418
1761,755.3423
1762,755.3428
1763,755.3433
1764,755.3438
1765,755.3448
1766,755.3452
1767,755.3457
1768,758.6653
1769,758.6662
1770,758.6667
1771,758.6677
1772,758.6682
1773,758.6687
1774,758.6692
1775,758.6697
1776,758.6706
1777,758.6711
1778,761.9955
1779,761.9969
1780,761.9974
1781,761.9979
1782,761.9984
1783,761.9994
1784,762.0003
1785,762.0013
1786,765.1074
1787,765.1084
1788,765.1089
1789,765.1094
1790,765.1104
1791,765.1115
1792,764.5258
1793,764.5271
1794,764.5277
1795,764.5288
1796,768.0154
1797,768.0163
1798,768.0176
1799,768.0180
1800,768.0185
1801,768.0200
1802,768.0206
1803,768.0211
1804,768.0222
1805,768.0227
1806,771.1810
1807,771.1824
1808,771.1834
1809,771.1840
1810,771.1844
1811,771.1856
1812,771.1861
1813,771.1872
1814,771.1877
1815,771.1882
1816,771.1887
1817,774.8127
1818,774.8137
1819,774.8144
1820,774.8154
1821,774.8163
1822,774.8173
1823,774.8177
1824,774.8182
1825,774.8192
1826,774.8196
1827,778.2821
1828,778.2835
1829,778.2844
1830,778.2854
1831,778.2864
1832,781.4481
1833,781.4509
1834,781.4519
1835,781.4525
1836,781.4530
1837,781.4540
1838,781.4553
1839,781.4558
1840,781.4564
1841,781.4570
1842,784.6368
1843,784.6382
1844,784.6388
1845,784.6394
1846,784.6409
1847,784.6441
1848,784.6454
1849,784.6459
1850,784.6474
1851,784.6481
1852,787.8452
1853,787.8466
1854,788.1439
1855,788.1449
1856,788.1459
1857,788.1468
1858,791.1644
1859,791.1665
1860,791.1675
1861,791.1692
1862,791.1698
1863,791.1711
1864,791.1720
1865,791.1726
1866,791.1731
1867,791.1735
